"filename", "language", "Markdown", "XML", "C++", "Ini", "C", "comment", "blank", "total"
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionLoadGame.h", "C++", 0, 0, 13, 0, 0, 0, 4, 17
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionModeFigType_PLAY.cpp", "C++", 0, 0, 12, 0, 0, 4, 11, 27
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionModeFigType_PLAY.h", "C++", 0, 0, 9, 0, 0, 0, 14, 23
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionModeFillColor_PLAY.cpp", "C++", 0, 0, 12, 0, 0, 1, 9, 22
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionModeFillColor_PLAY.h", "C++", 0, 0, 9, 0, 0, 0, 5, 14
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSave.cpp", "C++", 0, 0, 37, 0, 0, 8, 16, 61
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSave.h", "C++", 0, 0, 13, 0, 0, 0, 6, 19
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSelectFig.cpp", "C++", 0, 0, 118, 0, 0, 4, 11, 133
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSelectFig.h", "C++", 0, 0, 17, 0, 0, 2, 7, 26
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\Actions\ActionSendToBack.cpp", "C++", 0, 0, 18, 0, 0, 1, 7, 26
